path,function,line,end_line,async_func,remote_flow_hits,debt_check_hits,write_flow_hits,category,first_remote_context,first_debt_context
Bots/handlers/guard_workspace.py,_save_remote_received,604,655,True,2,1,1,REMOTE_FLOW_WITH_DEBT_WORDS,"639: f""Пульт принят на пост O: кв.{state['unit'].get('apartment_number')}, ""","653: ""Это физическая отметка; складской остаток будет вести отдельный модуль."""
Bots/handlers/service_orders_workspace.py,_create_interest_from_state,969,997,False,1,4,1,REMOTE_FLOW_WITH_DEBT_WORDS,990: return create_service_interest(,"987: parking_debt_check_mode=text(gate.get(""parking_debt_check_mode"")) or ""MANUAL_REVIEW"","
CHECK_service_code_compatibility_phone_v2.py,main,23,117,False,3,1,0,REMOTE_FLOW_WITH_DEBT_WORDS,"31: core = ROOT / ""service_orders_core.py""","97: SELECT interest_number, interest_status, amount_due_snapshot, payment_notice_id"
CREATE_TEST_PAYMENT_FOR_OPEN_SERVICE_ORDER.py,main,45,165,False,3,3,2,REMOTE_FLOW_WITH_DEBT_WORDS,"53: order_columns = table_columns(conn, ""service_orders"")","56: ""amount_due_snapshot"","
RETIRE_legacy_new_remote_test_orders_sandbox.py,main,21,109,False,3,1,5,REMOTE_FLOW_WITH_DEBT_WORDS,"26: backup = BACKUPS / f""{DB.stem}_before_retire_legacy_new_remote_tests_{stamp}{DB.suffix}""","46: print(""No matching unpaid legacy TEST new-remote orders were found."")"
phone_barrier_access_service.py,create_phone_barrier_access_interest,30,105,False,1,7,2,REMOTE_FLOW_WITH_DEBT_WORDS,67: interest = create_service_interest(,"39: parking_debt_check_mode: str = ""MANUAL_REVIEW"","
service_orders_core.py,create_service_order,495,713,False,7,11,4,REMOTE_FLOW_WITH_DEBT_WORDS,495: def create_service_order(,"506: amount_due_snapshot_override: float | None = None,"
service_preorders_core.py,ensure_simplified_service_schema,103,232,False,5,1,1,REMOTE_FLOW_WITH_DEBT_WORDS,112: CREATE TABLE IF NOT EXISTS service_order_interests (,"125: amount_due_snapshot REAL NOT NULL,"
service_preorders_core.py,create_service_interest,365,472,False,3,10,3,REMOTE_FLOW_WITH_DEBT_WORDS,365: def create_service_interest(,"376: amount_due_snapshot_override: float | None = None,"
service_preorders_core.py,reconcile_paid_service_interests,623,726,False,3,3,2,REMOTE_FLOW_WITH_DEBT_WORDS,638: SELECT * FROM service_order_interests,"652: due = float(interest.get(""amount_due_snapshot"") or 0)"
service_preorders_core.py,unpaid_interest_totals,729,750,False,1,1,0,REMOTE_FLOW_WITH_DEBT_WORDS,741: FROM service_order_interests,"729: def unpaid_interest_totals(*, conn: sqlite3.Connection | None = None) -> list[dict]:"
tools/remote_debt_gate_audit.py,load_db_status,187,223,False,8,2,0,REMOTE_FLOW_WITH_DEBT_WORDS,"216: has_remote_requests=""remote_requests"" in tables,","214: has_payment_allocations=""payment_allocations"" in tables,"
tools/remote_debt_gate_audit.py,main,361,533,False,18,52,0,REMOTE_FLOW_WITH_DEBT_WORDS,"385: ""service_orders_core.py"",","367: out_dir = root / ""Data"" / ""exports"" / ""code_passport"" / f""remote_debt_gate_audit_{stamp}"""
Bots/handlers/cashier_operator.py,receipt_allocation_total,946,960,False,0,5,0,DEBT_OR_PAYMENT_HELPER,,"947: if not table_exists(cur, ""payment_allocations""):"
Bots/handlers/cashier_operator.py,receipt_unallocated_amount,971,983,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,971: def receipt_unallocated_amount(receipt: dict) -> float:
Bots/handlers/cashier_operator.py,list_open_charges_for_receipt,986,1073,False,0,11,0,DEBT_OR_PAYMENT_HELPER,,"996: if not table_exists(cur, ""charges"") or not table_exists(cur, ""payment_allocations""):"
Bots/handlers/cashier_operator.py,allocate_receipt_to_charge,1076,1182,False,0,7,1,DEBT_OR_PAYMENT_HELPER,,"1112: maximum = min(unallocated, float(charge[""outstanding_amount""]))"
Bots/handlers/cashier_operator.py,format_receipt,1454,1486,False,0,2,0,DEBT_OR_PAYMENT_HELPER,,1455: unallocated = receipt_unallocated_amount(receipt)
Bots/handlers/cashier_operator.py,format_charge_list,1507,1532,False,0,3,0,DEBT_OR_PAYMENT_HELPER,,"1511: f""Не разнесено: {money(receipt_unallocated_amount(receipt))} грн."","
Bots/handlers/cashier_operator.py,format_cashier_home,1535,1544,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1543: ""остаток кассы не меняется."""
Bots/handlers/cashier_operator.py,start_receipt,1611,1645,True,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1642: ""Эта запись не является оплатой и не меняет остаток кассы.\n"""
Bots/handlers/cashier_operator.py,show_open_charges,1746,1782,True,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1768: f""{money(charge['outstanding_amount'])}"""
Bots/handlers/cashier_operator.py,preview_receipt,1785,1830,True,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1825: ""Платёж и остаток кассы не изменятся."","
Bots/handlers/cashier_operator.py,handle_cashier_operator_text,1858,2426,True,0,6,0,DEBT_OR_PAYMENT_HELPER,,"2265: receipt_unallocated_amount(receipt),"
Bots/handlers/cashier_operator_v2.py,_entry_summary,189,210,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"195: if charge and abs(float(state.get(""amount"") or 0) - float(charge[""outstanding_amount""])) < 0.00001"
Bots/handlers/cashier_operator_v2.py,_bank_summary,213,234,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"219: if charge and abs(float(state.get(""amount"") or 0) - float(charge[""outstanding_amount""])) < 0.00001"
Bots/handlers/cashier_operator_v2.py,_paper_summary,237,250,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"249: ""Платёж и остаток кассы не изменятся."","
Bots/handlers/cashier_operator_v2.py,_prepare_suggested_charge,253,271,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"268: state[""amount""] = float(rows[0][""outstanding_amount""])"
Bots/handlers/cashier_operator_v2.py,_create_entry,382,471,True,0,1,3,DEBT_OR_PAYMENT_HELPER,,"393: if charge and abs(amount - float(charge[""outstanding_amount""])) < 0.00001:"
Bots/handlers/cashier_operator_v2.py,_batch_summary,488,516,False,0,2,0,DEBT_OR_PAYMENT_HELPER,,"493: total = sum(float(overrides.get(text(item.get(""apartment_number"")), item[""outstanding_amount""])) for item in included)"
Bots/handlers/cashier_operator_v2.py,_start_batch,540,561,True,0,1,0,DEBT_OR_PAYMENT_HELPER,,"555: ""сумма каждой строки = точный остаток начисления."","
Bots/handlers/cashier_operator_v2.py,_show_reconciliation,634,651,True,0,1,0,DEBT_OR_PAYMENT_HELPER,,"645: ""Эти числа не равны долгу. Это рабочая очередь для оператора."","
Bots/handlers/cashier_operator_v2.py,handle_cashier_operator_v2_text,654,1097,True,0,3,0,DEBT_OR_PAYMENT_HELPER,,"912: f""Остаток кассы {state['cashbox_code']}: {money(result['cashbox_balance'])} грн."""
Bots/handlers/client_portal.py,_allocation_amount_column,1030,1033,False,0,2,0,DEBT_OR_PAYMENT_HELPER,,"1032: ""allocated_amount"" if ""allocated_amount"" in columns else None"
Bots/handlers/client_portal.py,_billing_data,1036,1190,False,0,20,0,DEBT_OR_PAYMENT_HELPER,,"1043: ""outstanding_total"": 0.0,"
Bots/handlers/client_portal.py,_format_dashboard,1202,1235,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1229: f""{tr(lang, 'due')}: {money(billing['outstanding_total'])} грн"","
Bots/handlers/client_portal.py,_format_parking,1238,1260,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1253: f""{tr(lang, 'due')}: {money(billing['outstanding_total'])} грн"","
Bots/handlers/client_portal.py,_format_charges,1263,1280,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1278: f""{tr(lang, 'due').lower()}: {money(row['outstanding_amount'])} грн"""
Bots/handlers/client_portal_safe_linking.py,_allocation_amount_column,1030,1033,False,0,2,0,DEBT_OR_PAYMENT_HELPER,,"1032: ""allocated_amount"" if ""allocated_amount"" in columns else None"
Bots/handlers/client_portal_safe_linking.py,_billing_data,1036,1190,False,0,20,0,DEBT_OR_PAYMENT_HELPER,,"1043: ""outstanding_total"": 0.0,"
Bots/handlers/client_portal_safe_linking.py,_format_dashboard,1202,1235,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1229: f""{tr(lang, 'due')}: {money(billing['outstanding_total'])} грн"","
Bots/handlers/client_portal_safe_linking.py,_format_parking,1238,1260,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1253: f""{tr(lang, 'due')}: {money(billing['outstanding_total'])} грн"","
Bots/handlers/client_portal_safe_linking.py,_format_charges,1263,1280,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"1278: f""{tr(lang, 'due').lower()}: {money(row['outstanding_amount'])} грн"""
Bots/handlers/client_portal_v2.py,_charge_buttons,323,336,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"330: f""{money(charge['outstanding_amount'])}"""
Bots/handlers/client_portal_v2.py,_select_charge_or_service,407,436,True,0,1,0,DEBT_OR_PAYMENT_HELPER,,"422: state[""amount""] = float(charge[""outstanding_amount""])"
Bots/handlers/client_portal_v2.py,handle_client_portal_text,478,665,True,0,1,0,DEBT_OR_PAYMENT_HELPER,,"584: state[""amount""] = float(charge[""outstanding_amount""])"
Bots/handlers/commercial_contract_editor.py,list_contracts,253,279,False,0,2,0,DEBT_OR_PAYMENT_HELPER,,"261: c.reminder_days_before_due, c.warning_days_overdue,"
Bots/handlers/commercial_contract_editor.py,get_contract,282,320,False,0,14,0,DEBT_OR_PAYMENT_HELPER,,"306: SELECT outstanding_amount, access_blocking_outstanding_amount,"
Bots/handlers/commercial_contract_editor.py,create_contract,416,451,False,0,2,2,DEBT_OR_PAYMENT_HELPER,,"428: reminder_days_before_due, warning_days_overdue,"
Bots/handlers/commercial_contract_editor.py,update_contract,454,486,False,0,2,2,DEBT_OR_PAYMENT_HELPER,,"458: ""reminder_days_before_due"", ""warning_days_overdue"","
Bots/handlers/commercial_contract_editor.py,create_item,534,566,False,0,2,2,DEBT_OR_PAYMENT_HELPER,,"545: currency, blocks_phone_access_on_debt, is_active,"
Bots/handlers/commercial_contract_editor.py,update_item,569,594,False,0,1,2,DEBT_OR_PAYMENT_HELPER,,"570: allowed = {""item_name"", ""fixed_amount"", ""rate_amount"", ""quantity_default"", ""blocks_phone_access_on_debt"", ""is_active""}"
Bots/handlers/commercial_contract_editor.py,format_contract,775,802,False,0,6,0,DEBT_OR_PAYMENT_HELPER,,"789: f""Предупреждение через: {contract.get('warning_days_overdue')} дн."","
Bots/handlers/commercial_contract_editor.py,format_items,805,812,False,0,2,0,DEBT_OR_PAYMENT_HELPER,,"811: lines.append(f""{i}. {mark} {item.get('item_name') or 'без названия'}\n   {label_mode(item.get('calculation_mode'))}\n   {item_amount(item)}\n   Блокирует доступ при долге: {'Да' if int(item.get('blocks_phone_access_on_debt') or 0) else 'Нет'}"")"
Bots/handlers/commercial_contract_editor.py,format_item,815,823,False,0,1,0,DEBT_OR_PAYMENT_HELPER,,"822: f""Блокирует доступ: {'Да' if int(item.get('blocks_phone_access_on_debt') or 0) else 'Нет'}"","
