entrance;apartment;charge_id;vehicle_id;service;service_item;period;plate;model;parking_time;charge_amount;paid_amount;balance_amount;overpaid_amount;payment_status;apt_charge_count;same_service_charge_count;sibling_vehicles;flags;hint
6;194;80;115;PARKING_DAY;;2026-05_2026-06;KA8848AO;MERCEDES;Day;400.0;0.0;400.0;0.0;UNPAID;2;1;charge=79 vehicle=114 AA5551IH rest=1000;;
6;195;81;116;PARKING_NIGHT;;2026-05_2026-06;AA1102AA;JEEP;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;1;charge=82 vehicle=117 AA8838TX rest=400;;
6;195;82;117;PARKING_DAY;;2026-05_2026-06;AA8838TX;AUDI;Day;400.0;0.0;400.0;0.0;UNPAID;2;1;charge=81 vehicle=116 AA1102AA rest=1000;;
6;196;83;118;PARKING_DAY;;2026-05_2026-06;AA9933EC;NISSAN;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
6;197;84;119;PARKING_DAY;;2026-05_2026-06;AA0403EM;SKODA;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
6;198;85;120;PARKING_DAY;;2026-05_2026-06;KA2882E;MERCEDES;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=86 vehicle=121 KA2882TT rest=400;;
6;198;86;121;PARKING_DAY;;2026-05_2026-06;KA2882TT;RANGE ROVER;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=85 vehicle=120 KA2882E rest=400;;
6;200;87;122;PARKING_DAY;;2026-05_2026-06;AA8499AK;HONDA;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=88 vehicle=123 AA5200HI rest=400;;
6;200;88;123;PARKING_DAY;;2026-05_2026-06;AA5200HI;MERCEDES;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=87 vehicle=122 AA8499AK rest=400;;
6;201;89;124;PARKING_DAY;;2026-05_2026-06;AA4388EX;VOLKSWAGEN;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
6;202;90;125;PARKING_DAY;;2026-05_2026-06;KA8801BB;RANGE ROVER;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
6;203;91;126;PARKING_NIGHT;;2026-05_2026-06;AA5054AX;;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;1;charge=92 vehicle=127 AA8069IM rest=400;;
6;203;92;127;PARKING_DAY;;2026-05_2026-06;AA8069IM;;Day;400.0;0.0;400.0;0.0;UNPAID;2;1;charge=91 vehicle=126 AA5054AX rest=1000;;
6;205;93;128;PARKING_DAY;;2026-05_2026-06;KA2882AE;VOLKSWAGEN;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=94 vehicle=129 KA8482II rest=400;;
6;205;94;129;PARKING_DAY;;2026-05_2026-06;KA8482II;LEXUS;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=93 vehicle=128 KA2882AE rest=400;;
6;206;95;130;PARKING_DAY;;2026-05_2026-06;AA1311BP;MERCEDES;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
